home_team,away_team,posteam,side_of_field,yardline_100,down,yrdln,ydsnet,kick_distance,punt_blocked,touchdown,return_touchdown,punt_attempt,return_yards
PIT,TEN,PIT,PIT,56,4,PIT 44,2,54,0,0,0,1,0
PIT,TEN,TEN,TEN,96,4,TEN 4,2,50,0,0,0,1,11
PIT,TEN,PIT,TEN,41,4,TEN 41,2,30,0,0,0,1,0
PIT,TEN,PIT,PIT,79,4,PIT 21,-6,53,0,0,0,1,0
PIT,TEN,TEN,PIT,44,4,PIT 44,0,39,0,0,0,1,0
PIT,TEN,PIT,PIT,62,4,PIT 38,33,46,0,0,0,1,11
PIT,TEN,PIT,TEN,45,4,TEN 45,9,38,0,0,0,1,-2
PIT,TEN,TEN,TEN,96,4,TEN 4,-1,50,0,0,0,1,0
PIT,TEN,PIT,TEN,43,4,TEN 43,11,33,0,0,0,1,0
PIT,TEN,TEN,TEN,71,4,TEN 29,19,56,0,0,0,1,0
PIT,TEN,PIT,PIT,77,4,PIT 23,8,45,0,0,0,1,5
PIT,TEN,TEN,TEN,70,4,TEN 30,12,28,0,0,0,1,0
CLE,MIN,MIN,MIN,70,4,MIN 30,0,51,0,0,0,1,3
CLE,MIN,CLE,CLE,82,4,CLE 18,-4,31,0,0,0,1,0
CLE,MIN,CLE,CLE,90,4,CLE 10,-4,49,0,0,0,1,36
CLE,MIN,MIN,MIN,71,4,MIN 29,9,29,0,0,0,1,0
CLE,MIN,CLE,CLE,53,4,CLE 47,5,38,0,0,0,1,0
CLE,MIN,MIN,MIN,81,4,MIN 19,4,48,0,1,1,1,67
CLE,MIN,MIN,MIN,66,4,MIN 34,8,27,0,0,0,1,0
CLE,MIN,CLE,CLE,51,4,CLE 49,30,39,0,0,0,1,0
CLE,MIN,MIN,MIN,72,4,MIN 28,16,42,0,0,0,1,-3
CLE,MIN,CLE,CLE,71,4,CLE 29,3,53,0,0,0,1,18
CLE,MIN,MIN,CLE,35,4,CLE 35,1,NA,0,0,0,1,0
NO,DET,DET,DET,75,4,DET 25,5,28,0,0,0,1,0
NO,DET,NO,NO,74,4,NO 26,7,54,0,0,0,1,12
NO,DET,DET,DET,67,4,DET 33,1,55,0,0,0,1,0
NO,DET,NO,NO,81,4,NO 19,7,42,0,0,0,1,43
NO,DET,DET,DET,70,4,DET 30,6,46,0,0,0,1,11
NO,DET,DET,DET,76,4,DET 24,4,36,0,0,0,1,0
NO,DET,DET,DET,58,4,DET 42,6,43,0,0,0,1,0
TB,DAL,DAL,DAL,57,4,DAL 43,26,NA,0,0,0,1,0
TB,DAL,TB,DAL,46,4,DAL 46,34,36,0,0,0,1,0
TB,DAL,DAL,DAL,64,4,DAL 36,26,63,0,0,0,1,13
TB,DAL,TB,TB,82,4,TB 18,4,38,0,0,0,1,0
TB,DAL,TB,TB,59,4,TB 41,21,38,0,0,0,1,0
TB,DAL,TB,TB,72,4,TB 28,8,48,0,0,0,1,0
TB,DAL,DAL,DAL,81,4,DAL 19,5,53,0,0,0,1,14
TB,DAL,TB,TB,54,4,TB 46,4,45,0,0,0,1,3
TB,DAL,DAL,DAL,62,4,DAL 38,26,46,0,0,0,1,0
HOU,NYJ,HOU,HOU,62,4,HOU 38,18,47,0,0,0,1,4
HOU,NYJ,NYJ,NYJ,76,4,NYJ 24,5,43,0,0,0,1,0
HOU,NYJ,HOU,HOU,64,4,HOU 36,3,38,0,0,0,1,0
HOU,NYJ,HOU,HOU,53,4,HOU 47,15,33,0,0,0,1,0
HOU,NYJ,NYJ,NYJ,73,4,NYJ 27,7,43,0,0,0,1,0
HOU,NYJ,HOU,HOU,82,4,HOU 18,8,51,0,0,0,1,18
HOU,NYJ,HOU,HOU,76,4,HOU 24,-1,51,0,0,0,1,12
HOU,NYJ,NYJ,NYJ,60,4,NYJ 40,3,46,0,0,0,1,0
HOU,NYJ,NYJ,HOU,43,4,HOU 43,6,32,0,0,0,1,0
HOU,NYJ,HOU,HOU,80,4,HOU 20,9,44,0,0,0,1,0
IND,JAC,JAC,IND,43,4,IND 43,37,31,0,0,0,1,0
IND,JAC,JAC,IND,45,4,IND 45,27,31,0,0,0,1,0
IND,JAC,JAC,JAC,75,4,JAC 25,5,43,0,0,0,1,5
IND,JAC,IND,IND,54,4,IND 46,9,45,0,0,0,1,0
IND,JAC,JAC,JAC,93,4,JAC 7,-2,27,0,0,0,1,0
IND,JAC,IND,JAC,44,4,JAC 44,36,43,0,0,0,1,0
IND,JAC,JAC,JAC,90,4,JAC 10,9,57,0,0,0,1,0
CIN,DEN,DEN,DEN,57,4,DEN 43,23,45,0,0,0,1,0
CIN,DEN,CIN,DEN,47,4,DEN 47,41,31,0,0,0,1,0
CIN,DEN,DEN,DEN,79,4,DEN 21,5,43,0,0,0,1,14
CIN,DEN,DEN,DEN,57,4,DEN 43,-1,36,0,0,0,1,11
CIN,DEN,CIN,DEN,38,4,DEN 38,30,22,0,0,0,1,0
CIN,DEN,DEN,DEN,80,4,DEN 20,4,56,0,0,0,1,9
CIN,DEN,DEN,DEN,72,4,DEN 28,8,53,0,0,0,1,13
CIN,DEN,CIN,DEN,49,4,DEN 49,19,31,0,0,0,1,0
CIN,DEN,CIN,CIN,63,4,CIN 37,17,55,0,0,0,1,6
CIN,DEN,DEN,DEN,83,4,DEN 17,3,28,0,0,0,1,0
CIN,DEN,CIN,CIN,55,4,CIN 45,-10,47,0,0,0,1,1
CIN,DEN,DEN,DEN,61,4,DEN 39,34,46,0,0,0,1,2
CIN,DEN,CIN,CIN,74,4,CIN 26,9,50,0,0,0,1,10
CIN,DEN,CIN,CIN,77,4,CIN 23,8,42,0,0,0,1,0
CIN,DEN,DEN,CIN,42,4,CIN 42,23,33,0,0,0,1,0
CAR,PHI,PHI,CAR,47,4,CAR 47,27,37,0,0,0,1,0
CAR,PHI,CAR,CAR,72,4,CAR 28,8,57,0,1,1,1,85
CAR,PHI,CAR,CAR,66,4,CAR 34,-1,61,0,0,0,1,21
CAR,PHI,PHI,PHI,52,4,PHI 48,33,37,0,0,0,1,0
CAR,PHI,PHI,PHI,56,4,PHI 44,16,49,0,0,0,1,26
CAR,PHI,CAR,CAR,54,4,CAR 46,13,NA,0,0,0,1,0
CAR,PHI,CAR,CAR,51,4,CAR 49,-16,NA,0,0,0,1,0
CAR,PHI,PHI,PHI,76,4,PHI 24,4,48,0,0,0,1,7
BAL,KC,KC,KC,73,4,KC 27,1,43,0,0,0,1,0
BAL,KC,KC,KC,80,4,KC 20,-5,57,0,0,0,1,7
BAL,KC,KC,KC,75,4,KC 25,9,61,0,0,0,1,2
BAL,KC,BAL,BAL,85,4,BAL 15,7,56,0,0,0,1,0
BAL,KC,KC,KC,66,4,KC 34,5,57,0,0,0,1,0
BAL,KC,KC,KC,76,4,KC 24,4,28,0,0,0,1,0
BAL,KC,BAL,KC,41,4,KC 41,11,31,0,0,0,1,0
ATL,MIA,ATL,MIA,45,4,MIA 45,-8,33,0,0,0,1,0
ATL,MIA,MIA,MIA,54,4,MIA 46,34,43,0,0,0,1,0
ATL,MIA,MIA,MIA,62,4,MIA 38,24,49,0,0,0,1,11
ATL,MIA,ATL,ATL,67,4,ATL 33,9,38,0,0,0,1,7
ATL,MIA,MIA,MIA,79,4,MIA 21,5,50,0,0,0,1,0
ATL,MIA,ATL,ATL,62,4,ATL 38,9,40,0,0,0,1,4
ATL,MIA,MIA,MIA,79,4,MIA 21,-5,45,0,0,0,1,18
ATL,MIA,ATL,MIA,44,4,MIA 44,4,NA,0,0,0,1,0
ATL,MIA,MIA,MIA,67,4,MIA 33,5,38,0,0,0,1,2
ARI,SF,ARI,ARI,65,4,ARI 35,15,52,0,0,0,1,13
ARI,SF,SF,SF,66,4,SF 34,8,45,0,0,0,1,8
ARI,SF,ARI,ARI,86,4,ARI 14,6,45,0,0,0,1,-4
